,repo,developer_random_id,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,files,commit_messages_length,days_worked,files_blamed,issues,pulls_created,merges,repo_developer_count,repo_language_count,repo_ruby_used,repo_c_used,repo_cpp_used,repo_cs_used,repo_java_used,repo_js_used,repo_python_used,repo_html_used,repo_php_used,repo_others_used,author
46,capistrano/capistrano,capistrano_11,0.086864407,0.134693878,0.134693878,0.0,0.381996974,0.36038961,0.203947679,0.299065421,1.0,0.142857143,1.0,0.271028037,373,3,1,0,0,0,0,0,0,1,0,1,1
47,capistrano/capistrano,capistrano_25,0.041313559,0.073015873,0.073015873,0.065532627,0.345688351,0.224025974,0.051171869,0.140186916,0.032786885,0.0,0.322580645,0.056074766,373,3,1,0,0,0,0,0,0,1,0,1,0
48,capistrano/capistrano,capistrano_31,0.032838983,0.010733182,0.010733182,0.998326827,0.175491679,0.016233766,0.060474414,0.028037383,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
49,capistrano/capistrano,capistrano_51,0.030720339,0.0143613,0.0143613,0.157836029,0.161875946,0.149350649,0.015283877,0.028037383,0.032786885,0.0,0.129032258,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
50,capistrano/capistrano,capistrano_26,0.027542373,0.006198035,0.006198035,0.372838818,0.076399395,0.051948052,0.03854811,0.074766355,0.0,0.714285714,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
51,capistrano/capistrano,capistrano_13,0.025423729,0.003930461,0.003930461,0.458728388,0.001134644,0.012987013,0.015220916,0.00623053,0.0,0.0,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
52,capistrano/capistrano,capistrano_15,0.037076271,0.042176871,0.042176871,0.120189626,0.185325265,0.237012987,0.026821552,0.068535826,0.147540984,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
53,capistrano/capistrano,capistrano_27,0.012711864,0.003476946,0.003476946,0.324037925,0.004538578,0.038961039,0.008216461,0.012461059,0.0,0.0,0.161290323,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
54,capistrano/capistrano,capistrano_12,0.009533898,0.002569917,0.002569917,0.466815393,0.040090772,0.019480519,0.007130377,0.012461059,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
55,capistrano/capistrano,capistrano_41,0.009533898,0.002267574,0.002267574,0.846346905,0.009077156,0.051948052,0.015976452,0.021806854,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
56,capistrano/capistrano,capistrano_20,0.008474576,0.002721088,0.002721088,0.424707195,0.344931921,0.038961039,0.010829359,0.015576324,0.0,0.0,0.112903226,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
57,capistrano/capistrano,capistrano_58,0.007415254,0.002116402,0.002116402,0.367819297,0.209152799,0.032467532,0.017109757,0.021806854,0.0,0.0,0.112903226,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
58,capistrano/capistrano,capistrano_8,0.006355932,0.002267574,0.002267574,0.187395427,0.080937973,0.029220779,0.005335978,0.012461059,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
59,capistrano/capistrano,capistrano_17,0.007415254,0.001360544,0.001360544,0.064417178,0.020423601,0.025974026,0.004848027,0.018691589,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
60,capistrano/capistrano,capistrano_29,0.00529661,0.001814059,0.001814059,0.277746793,0.014372163,0.025974026,0.004155452,0.009345794,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
61,capistrano/capistrano,capistrano_65,0.00529661,0.001209373,0.001209373,0.26491913,0.138426626,0.022727273,0.007508146,0.012461059,0.0,0.0,0.080645161,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
62,capistrano/capistrano,capistrano_60,0.004237288,0.000604686,0.000604686,0.346068042,0.001512859,0.0,0.007161858,0.00623053,0.0,0.0,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
63,capistrano/capistrano,capistrano_54,0.004237288,0.003779289,0.003779289,0.245956497,0.078290469,0.038961039,0.004344336,0.012461059,0.0,0.0,0.14516129,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
64,capistrano/capistrano,capistrano_22,0.003177966,0.000907029,0.000907029,0.025376464,0.001134644,0.019480519,0.003415655,0.003115265,0.016393443,0.0,0.080645161,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
65,capistrano/capistrano,capistrano_36,0.002118644,0.000302343,0.000302343,0.259620747,0.101739788,0.006493506,0.001495333,0.009345794,0.0,0.0,0.112903226,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
66,capistrano/capistrano,capistrano_64,0.002118644,0.002116402,0.002116402,0.189626325,0.105143722,0.048701299,0.008122019,0.009345794,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
67,capistrano/capistrano,capistrano_66,0.002118644,0.001662887,0.001662887,0.768544339,0.052950076,0.035714286,0.004186932,0.012461059,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
68,capistrano/capistrano,capistrano_32,0.002118644,0.003930461,0.003930461,0.466815393,0.356656581,0.022727273,0.00226661,0.012461059,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
69,capistrano/capistrano,capistrano_52,0.002118644,0.000302343,0.000302343,0.257668712,0.02269289,0.00974026,0.001605515,0.00623053,0.0,0.0,0.016129032,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
70,capistrano/capistrano,capistrano_48,0.001059322,0.000453515,0.000453515,0.293363079,0.000378215,0.006493506,0.001243487,0.003115265,0.0,0.0,0.016129032,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
