,repo,developer_random_id,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,files,commit_messages_length,days_worked,files_blamed,issues,pulls_created,merges,repo_developer_count,repo_language_count,repo_ruby_used,repo_c_used,repo_cpp_used,repo_cs_used,repo_java_used,repo_js_used,repo_python_used,repo_html_used,repo_php_used,repo_others_used,author
48,capistrano/capistrano,capistrano_31,0.023584567,-0.14311151,-0.14311151,2.71685948,0.396653108,-0.317393785,0.163042003,-0.106000093,-0.243327505,-0.225484009,-0.464103606,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
49,capistrano/capistrano,capistrano_51,0.007285285,-0.116344639,-0.116344639,-0.649162912,0.32351009,0.559896901,-0.144543316,-0.106000093,-0.037435001,-0.225484009,0.392703051,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
50,capistrano/capistrano,capistrano_26,-0.017163638,-0.1765701,-0.1765701,0.211886612,-0.135665522,-0.082023113,0.013802592,0.212966753,-0.243327505,3.908389493,-0.249901942,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
51,capistrano/capistrano,capistrano_13,-0.03346292,-0.193299394,-0.193299394,0.555859703,-0.53998387,-0.338791119,-0.144971857,-0.254851288,-0.243327505,-0.225484009,-0.249901942,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
52,capistrano/capistrano,capistrano_15,0.056183132,0.08886804,0.08886804,-0.799930338,0.449478621,1.137624914,-0.066013173,0.17043784,0.683188764,-0.225484009,-0.464103606,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
53,capistrano/capistrano,capistrano_27,-0.131258613,-0.196645253,-0.196645253,0.016447356,-0.521698116,-0.167612448,-0.192647046,-0.212322375,-0.243327505,-0.225484009,0.606904715,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
54,capistrano/capistrano,capistrano_12,-0.155707537,-0.203336971,-0.203336971,0.58824678,-0.330713569,-0.295996451,-0.200039378,-0.212322375,-0.243327505,-0.225484009,-0.142801109,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
55,capistrano/capistrano,capistrano_41,-0.155707537,-0.205567543,-0.205567543,2.108205796,-0.49731711,-0.082023113,-0.139829365,-0.148529006,-0.243327505,-0.225484009,-0.464103606,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
56,capistrano/capistrano,capistrano_20,-0.163857178,-0.202221684,-0.202221684,0.419610621,1.30687733,-0.167612448,-0.174862593,-0.191057919,-0.243327505,-0.225484009,0.285602219,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
57,capistrano/capistrano,capistrano_58,-0.172006819,-0.20668283,-0.20668283,0.191784288,0.577478902,-0.210407116,-0.132115626,-0.148529006,-0.243327505,-0.225484009,0.285602219,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
